,names,gs,rd,Home,Team Type,Home Institute,Home Team,Modified Home,Venue Postcode,Lat,Lon,id,league,tier,section
33,Birmingham Men's 3,2042.7487060651683,50.42776645162155,Birmingham Men's 3,Men's,Birmingham,3,Birmingham,B15 2GR,52.4623,-1.9212,104,Tier1_2,Tier1,2
34,Exeter Men's 3,2041.404454408091,50.434871310102544,Exeter Men's 3,Men's,Exeter,3,Exeter,EX4 4QN,50.73776,-3.5297,293,Tier1_7,Tier1,7
35,Nottingham Trent Men's 4,2041.3895060837217,49.42942235600948,Nottingham Trent Men's 4,Men's,Nottingham Trent,4,Nottingham Trent,NG11 8NS,52.87862,-1.19524,112,Tier1_4,Tier1,4
36,Glasgow Men's 1,2038.258587805102,50.9502419931055,Glasgow Men's 1,Men's,Glasgow,1,Glasgow,G20 0SP,55.8906,-4.2904,49,Tier1_5,Tier1,5
37,Manchester Met Men's 1,2038.2305938784289,49.94398177536927,Manchester Met Men's 1,Men's,Manchester Met,1,Manchester Met,M14 6PA,53.4482,-2.2257,528,Tier1_6,Tier1,6
38,Nottingham Men's 4,2037.762951887401,50.4264344318252,Nottingham Men's 4,Men's,Nottingham,4,Nottingham,NG7 2PS,52.9536,-1.1505,60,Tier1_4,Tier1,4
39,Bournemouth Men's 1,2034.2661699543044,49.9241740939245,Bournemouth Men's 1,Men's,Bournemouth,1,Bournemouth,BH23 6BL,50.755406666666666,-1.7577666666666665,458,Tier1_7,Tier1,7
40,Bristol Men's 3,2030.050719714048,50.9552234225081,Bristol Men's 3,Men's,Bristol,3,Bristol,BS9 2BJ,51.4874,-2.6266,242,Tier1_7,Tier1,7
41,Nottingham Men's 3,2029.7219041558876,50.4301047013696,Nottingham Men's 3,Men's,Nottingham,3,Nottingham,NG7 2PS,52.9536,-1.1505,62,Tier1_6,Tier1,6
42,Edinburgh Men's 2,2027.551667002478,49.9260549523019,Edinburgh Men's 2,Men's,Edinburgh,2,Edinburgh,EH16 5LL,55.92249999999999,-3.1511333333333336,88,Tier1_3,Tier1,3
43,Durham Men's 3,2026.9247261288704,49.92438721006365,Durham Men's 3,Men's,Durham,3,Durham,DH1 3SE,54.77482,-1.56714,189,Tier1_5,Tier1,5
44,Chichester Men's 1,2026.3115991159848,50.43191499195781,Chichester Men's 1,Men's,Chichester,1,Chichester,PO19 6PE,50.8373,-0.77915,573,Tier1_1,Tier1,1
45,Edinburgh Men's 3,2025.6010590292165,52.04444062210373,Edinburgh Men's 3,Men's,Edinburgh,3,Edinburgh,EH16 5LL,55.92249999999999,-3.1511333333333336,87,Tier1_3,Tier1,3
46,Nottingham Trent Men's 3,2024.53077844176,49.92086916097078,Nottingham Trent Men's 3,Men's,Nottingham Trent,3,Nottingham Trent,NG11 8NS,52.87862,-1.19524,113,Tier1_4,Tier1,4
47,Lancaster Men's 1,2009.3113784600591,50.41971714938874,Lancaster Men's 1,Men's,Lancaster,1,Lancaster,LA1 4YQ,54.0316,-2.7915,490,Tier1_5,Tier1,5
48,Portsmouth Men's 1,2006.295670515308,49.92112331616536,Portsmouth Men's 1,Men's,Portsmouth,1,Portsmouth,PO4 8LW,50.78925,-1.06255,439,Tier1_1,Tier1,1
49,St Andrews Men's 1,2003.9737896626384,50.42737098430417,St Andrews Men's 1,Men's,St Andrews,1,St Andrews,KY16 9DY,56.34,-2.816311111111111,136,Tier1_3,Tier1,3
50,Heriot-Watt Men's 1,2002.5506976503625,50.435785795006005,Heriot-Watt Men's 1,Men's,Heriot-Watt,1,Heriot-Watt,EH16 5LL,55.92249999999999,-3.1511333333333336,131,Tier1_3,Tier1,3
51,Swansea Men's 1,1994.4283648318565,52.62508870565237,Swansea Men's 1,Men's,Swansea,1,Swansea,SA2 9AU,51.61628,-4.04254,430,Tier1_7,Tier1,7
52,Strathclyde Men's 1,1993.795983115113,52.03834837027,Strathclyde Men's 1,Men's,Strathclyde,1,Strathclyde,G33 6ND,55.889,-4.1521,375,Tier1_5,Tier1,5
53,Leeds Men's 1,1988.612907758397,52.61699106890103,Leeds Men's 1,Men's,Leeds,1,Leeds,LS16 5AU,53.868475,-1.5981,405,Tier1_6,Tier1,6
54,Oxford Men's 2,1980.687694373417,49.91515109268881,Oxford Men's 2,Men's,Oxford,2,Oxford,OX4 1SR,51.723725,-1.224375,199,Tier1_2,Tier1,2
55,Liverpool Men's 1,1979.9094388714807,50.4303398309434,Liverpool Men's 1,Men's,Liverpool,1,Liverpool,L18 6HF,53.3805,-2.9086,147,Tier1_6,Tier1,6
56,Imperial Men's 1,1958.279924010165,52.6168069105155,Imperial Men's 1,Men's,Imperial,1,Imperial,TW7 4NQ,51.4752,-0.3425,334,Tier1_1,Tier1,1
57,UWE Men's 1,1578.2836200772044,50.9541162680308,UWE Men's 1,Men's,UWE,1,UWE,BS16 1QY,51.49088571428571,-2.5036,298,Tier1_2,Tier1,2
